id ; iName ; eng ; jpn ; tchi ; schi ; kor ; fre ; ger ; spa ; ita ; dut ; rus ; 
0050 ; FtrKatakatatoy ; clackercart ; ておしぐるま ; 學步推車 ; 学步推车 ; 장난감차 ; chariot de marche ; Spielwagen ; carrito carraca ; macchinina primi passi ; loopwagen ; тележка-каталка
0646 ; FtrServingcart ; serving cart ; サービングカート ; 服務餐車 ; 服务餐车 ; 서빙 카트 ; chariot de service ; Servierwagen ; carrito de servicio ; carrello da portate ; serveerwagen ; столик-тележка
0654 ; FtrHammock ; hammock ; ハンモック ; 吊床 ; 吊床 ; 해먹 ; hamac ; Hängematte ; hamaca ; amaca ; hangmat ; гамак
0655 ; FtrVinylchair ; lawn chair ; ビニールチェア ; 休閒塑膠椅 ; 休闲塑胶绑带椅 ; 비닐 체어 ; chaise de plage ; Gartenstuhl ; silla de jardín ; sedia da giardino ; tuinstoel ; садовый стул
0658 ; FtrDwarf ; garden gnome ; ノームのおきもの ; 地精擺飾 ; 地精摆饰 ; 노움 모형 ; nain de jardin ; Gartenzwerg ; gnomo de jardín ; gnomo da giardino ; tuinkabouter ; садовый гномик
0659 ; FtrIrongardenBench ; iron garden bench ; アイアンガーデンベンチ ; 鑄鐵花園長椅 ; 花园铸铁长椅 ; 아이언 가든 벤치 ; banc de jardin fer ; Romantikgartenbank ; banco de forja ; panca da giardino di ferro ; ijzeren tuinbank ; железная скамья
065A ; FtrIrongardenChair ; iron garden chair ; アイアンガーデンチェア ; 鑄鐵花園椅 ; 花园铸铁椅 ; 아이언 가든 체어 ; chaise de jardin fer ; Romantikgartenstuhl ; silla de forja ; sedia da giardino di ferro ; ijzeren tuinstoel ; железный стул
065B ; FtrIrongardenTable ; iron garden table ; アイアンガーデンテーブル ; 鑄鐵花園桌 ; 花园铸铁桌 ; 아이언 가든 테이블 ; table de jardin fer ; Romantikgartentisch ; mesa de forja ; tavolo da giardino di ferro ; ijzeren tuintafel ; железный стол
065C ; FtrLampGarden ; garden lantern ; ガーデンライト ; 花園燈 ; 花园灯 ; 정원 랜턴 ; lampe de jardin ; Gartenlaterne ; farol de jardín ; lanterna da giardino ; tuinlantaarn ; садовый фонарь
065F ; FtrWaterview ; garden faucet ; ウォータービュー ; 花園水龍頭 ; 花园水龙头 ; 정원 수도꼭지 ; robinet de jardin ; Gartenwasserhahn ; grifo de jardín ; fontanella da giardino ; tuinkraan ; садовый кран
0660 ; FtrGolfbag ; golf bag ; ゴルフバッグ ; 高爾夫球袋 ; 高尔夫球袋 ; 골프백 ; sac de golf ; Profi-Golftasche ; bolsa de golf ; sacca da golf ; golftas ; бэг для гольфа
066C ; FtrElectricguitar1 ; rock guitar ; エレキギターES1 ; 電吉他ES1 ; 电吉他ES1 ; 일렉트릭기타 ES1 ; guitare rock ; Rock-Gitarre ; guitarra rock ; chitarra rock ; rockgitaar ; рок-гитара
066D ; FtrElectricguitar2 ; electric guitar ; エレキギターES2 ; 電吉他ES2 ; 电吉他ES2 ; 일렉트릭기타 ES2 ; guitare jazz ; Jazz-Gitarre ; guitarra eléctrica ; chitarra elettrica ; elektrische gitaar ; электрогитара
0674 ; FtrMatryoshka ; matryoshka ; マトリョーシカ ; 俄羅斯套娃 ; 俄罗斯套娃 ; 마트료시카 ; série matriochka ; Matroschka ; matrioska ; matriosca ; matroesjka ; матрешка
06AC ; FtrRadicaseW ; cassette player ; ダブルラジカセ ; 雙卡帶收音機 ; 双磁带录音机 ; 더블 데크 ; lecteur de cassettes ; Kassettenrekorder ; radiocasete doble ; mangianastri ; cassetterecorder ; кассетный магнитофон
06D0 ; FtrOfficeClock ; wall clock ; ウォールクロック ; 壁鐘 ; 壁钟 ; 벽시계 ; horloge murale ; Wanduhr ; reloj de oficina ; orologio da parete ; hangklok ; настенные часы
06D6 ; FtrOfficePapers ; document stack ; しょるいのやま ; 文件堆 ; 文件堆 ; 서류 더미 ; pile de documents ; Dokumentenstapel ; pila de documentos ; pila di documenti ; stapel documenten ; стопка документов
06D9 ; FtrAlomapot ; aroma pot ; アロマポット ; 薰香台 ; 熏香台 ; 아로마 포트 ; brûle-parfum ; Duftlampe ; quemador de esencias ; brucia essenze ; geurpot ; аромалампа
06DD ; FtrBathtubCabriole ; claw-foot tub ; ねこあしバスタブ ; 古典浴缸 ; 古典浴缸 ; 럭셔리 욕조 ; baignoire à pieds ; Badewanne ; bañera ; vasca da bagno ; bad met klauwpoten ; ванна на ножках
06DF ; FtrBooks ; stack of books ; つまれたほん ; 書堆 ; 书堆 ; 쌓인 책 ; pile de livres ; Bücherstapel ; pila de libros ; pila di libri ; stapel boeken ; стопка книг
06F2 ; FtrClotheshorse ; clothesline pole ; ものほしざお ; 曬衣竿 ; 晒衣竿 ; 빨래 건조봉 ; étendoir ; Wäscheleine ; tendedero ; corda del bucato ; waslijn ; белье на веревке
06F3 ; FtrTableCloth ; table with cloth ; クロスつきテーブル ; 附桌巾桌子 ; 附桌巾桌子 ; 사각 테이블 ; table nappée ; Tischdeckentisch ; mesa con mantel ; tavola con tovaglia ; tafel met tafelkleed ; стол со скатертью
06F7 ; FtrCorkboard ; corkboard ; コルクボード ; 軟木佈告欄 ; 软木布告栏 ; 코르크 보드 ; tableau en liège ; Pinnwand ; tablón de corcho ; bacheca in sughero ; prikbord ; пробковая доска
0700 ; FtrCushion ; cushion ; クッション ; 抱枕 ; 抱枕 ; 쿠션 ; coussin ; Kissen ; cojín ; cuscino ; kussen ; подушка
0705 ; FtrDecoy ; decoy duck ; デコイ ; 木雕鴨 ; 木雕鸭 ; 유인용 오리 ; faux canard ; Deko-Ente ; señuelo para patos ; papero finto ; lokeend ; муляж утки
0707 ; FtrDoghouse ; doghouse ; いぬごや ; 狗屋 ; 狗屋 ; 개집 ; niche ; Hundehütte ; caseta de perro ; cuccia ; hondenhok ; собачья будка
070A ; FtrDrinkmachine ; drink machine ; じはんき ; 自動販賣機 ; 自动贩卖机 ; 음료수 자동판매기 ; distributeur de boissons ; Getränkeautomat ; máquina de refrescos ; distributore di bevande ; blikjesautomaat ; автомат для напитков
070B ; FtrDrumSet ; drum set ; ドラムセット ; 爵士鼓組合 ; 爵士鼓组合 ; 드럼 ; batterie classique ; Schlagzeug ; batería ; batteria ; drumstel ; ударная установка
070C ; FtrElectricbass ; electric bass ; エレキベース ; 電貝斯 ; 电贝司 ; 일렉트릭 베이스 기타 ; basse électrique ; E-Bass ; bajo eléctrico ; basso elettrico ; elektrische basgitaar ; бас-гитара
0718 ; FtrFittingroom ; changing room ; しちゃくしつ ; 試衣間 ; 试衣间 ; 피팅 룸 ; cabine d'essayage ; Umkleide ; probador ; cabina di prova ; kleedruimte ; примерочная
071F ; FtrGarbagebag ; trash bags ; ゴミぶくろ ; 垃圾袋 ; 垃圾袋 ; 쓰레기봉투 ; duo de sacs poubelle ; Müllsack-Set ; par de bolsas de basura ; set sacchi per la spazzatura ; vuilniszakken ; мешки с мусором
0725 ; FtrPlantGoldcrest ; cypress plant ; ゴールドクレスト ; 黃金柏 ; 黄金柏 ; 율마 ; cyprès ; Zypresse ; ciprés ; cipresso in vaso ; cipres ; кипарис
072C ; FtrHumidifier ; humidifier ; かしつき ; 加濕器 ; 加湿器 ; 가습기 ; humidificateur ; Luftbefeuchter ; humidificador ; umidificatore ; verstuiver ; увлажнитель
072E ; FtrIron ; ironing set ; アイロン ; 燙衣組合 ; 烫衣组合 ; 다리미 ; set de repassage ; Bügelset ; plancha a vapor ; asse e ferro da stiro ; strijkbout ; комплект для утюжки
0730 ; FtrJacuzzi ; whirlpool bath ; ジャグジー ; 按摩浴缸 ; 按摩浴缸 ; 자쿠지 욕조 ; bain à remous ; Whirlpool ; bañera de hidromasaje ; vasca idromassaggio ; bubbelbad ; джакузи
0735 ; FtrKettle ; simple kettle ; ケトル ; 開水壺 ; 开水壶 ; 심플 주전자 ; bouilloire standard ; Teekessel ; tetera normal ; bollitore standard ; waterketel ; простой чайник
0739 ; FtrKotatsu ; kotatsu ; こたつ ; 被爐 ; 被炉 ; 이불탁자 ; kotatsu ; Heiztisch ; kotatsu ; kotatsu ; kotatsutafel ; котацу
073A ; FtrLaptop ; laptop ; ノートパソコン ; 筆記型電腦 ; 笔记本电脑 ; 노트북 ; ordinateur portable ; Notebook ; ordenador portátil ; laptop ; laptop ; ноутбук
073B ; FtrLavalamp ; rocket lamp ; スライムランプ ; 熔岩燈 ; 熔岩灯 ; 슬라임 램프 ; lampe à lave ; Lavalampe ; lámpara de lava ; lampada lava ; lavalamp ; лавовая лампа
073C ; FtrBoxsofa ; box sofa ; ボックスソファ ; 無扶手沙發 ; 无扶手沙发 ; 사각 소파 ; module de canapé ; Sofa-Element ; módulo de sofá largo ; sofà elemento lungo ; combibank ; жесткий диван
073D ; FtrBoxsofaCorner ; box corner sofa ; ボックスソファのコーナー ; 無扶手轉角沙發 ; 无扶手转角沙发 ; 사각 소파 코너 ; angle de canapé ; Sofa-Eckelement ; módulo de sofá esquina ; sofà pezzo d'angolo ; hoekcombibank ; угол жесткого дивана
0745 ; FtrMagagine ; stacked magazines ; ざっしのたば ; 雜誌堆 ; 杂志堆 ; 쌓인 잡지 ; lot de magazines ; Magazinsammlung ; montón de revistas ; raccolta di riviste ; stapel tijdschriften ; коллекция журналов
074A ; FtrMenuboard ; menu chalkboard ; メニューこくばん ; 菜單黑板 ; 菜单黑板 ; 메뉴 칠판 ; tableau menu du jour ; Restauranttafel ; pizarra con menú ; lavagna con menu ; krijtmenukaart ; доска для меню
074C ; FtrMirror ; desk mirror ; おきかがみ ; 桌鏡 ; 桌镜 ; 책상용 거울 ; miroir de table ; Tischspiegel ; espejo de tocador ; specchio da tavolo ; bureauspiegel ; настольное зеркало
074E ; FtrMug ; mug ; マグカップ ; 馬克杯 ; 马克杯 ; 머그컵 ; mug ; Tasse ; taza grande ; tazza ; mok ; кружка
0753 ; FtrPianoGrand ; grand piano ; グランドピアノ ; 三角架鋼琴 ; 三角架钢琴 ; 그랜드 피아노 ; piano à queue ; Konzertflügel ; piano de cola ; pianoforte a coda ; vleugel ; концертный рояль
0759 ; FtrPolytank ; plastic canister ; ポリタンク ; 儲油桶 ; 储油桶 ; 플라스틱 액체 용기 ; jerrican ; Kanister ; bidón de gasolina ; tanica ; jerrycan ; канистра из пластика
0760 ; FtrRiceCooker ; rice cooker ; すいはんき ; 電飯鍋 ; 电饭锅 ; 전기밥솥 ; cuiseur de riz ; Reiskocher ; hervidor de arroz ; cuociriso ; rijstkoker ; рисоварка
0761 ; FtrRing ; ring ; ゆびわ ; 戒指 ; 戒指 ; 반지 ; bague en diamant ; Verlobungsring ; anillo de compromiso ; anello con diamante ; ring ; кольцо
0764 ; FtrSandglass ; hourglass ; すなどけい ; 沙漏 ; 沙漏 ; 모래시계 ; sablier ; Sanduhr ; reloj de arena ; clessidra ; zandloper ; песочные часы
076B ; FtrAutograph ; autograph cards ; しきし ; 簽名板 ; 签名板 ; 사인지 ; série d'autographes ; Kalligrafie-Deko ; set de autógrafos ; set di calligrafie ; handtekeningenset ; автографы
0779 ; FtrWoodenChairS ; wooden chair ; もくせいチェア ; 木製椅 ; 木制椅 ; 목제 체어 ; chaise en bois ; Holzstuhl ; silla de madera ; sedia di legno ; houten stoel ; деревянный стул
0789 ; FtrWC ; toilet ; ようしきトイレ ; 馬桶 ; 马桶 ; 양변기 ; WC ; Toilette ; inodoro ; water ; toiletpot ; унитаз
07DA ; FtrBall ; ball ; ボール ; 球 ; 球 ; 볼 ; ballon ; Ball ; balón ; pallone ; bal ; мяч
07DC ; FtrBlackboard ; chalkboard ; こくばん ; 黑板 ; 黑板 ; 칠판 ; tableau noir ; Tafel ; pizarra ; lavagna ; schoolbord ; классная доска
07DD ; FtrChairCollage ; lecture-hall bench ; こうぎしつのイス ; 講堂椅子 ; 讲堂椅子 ; 강의실 의자 ; double siège d'amphi ; Hörsaalbank ; silla doble de aula ; coppia di sedie per aula ; collegezaalbank ; аудиторные стулья
07DE ; FtrTableCollage ; lecture-hall desk ; こうぎしつのつくえ ; 講堂桌子 ; 讲堂桌子 ; 강의실 책상 ; table d'amphi ; Hörsaaltisch ; pupitre ; banco per aula ; collegezaaltafel ; аудиторный стол
07E4 ; FtrDirectorchair ; director's chair ; ディレクターズチェア ; 導演椅 ; 导演椅 ; 영화감독 의자 ; chaise réalisateur ; Regiestuhl ; silla de director ; sedia da regista ; regisseursstoel ; режиссерский стул
090F ; FtrDrinkingfountain ; drinking fountain ; みずのみば ; 飲水處 ; 饮水处 ; 음수대 ; fontaine-abreuvoir ; Trinkbrunnen ; fuente para beber ; fontanella pubblica ; drinkfontein ; питьевой фонтанчик
0916 ; FtrHandpump ; water pump ; ておしポンプ ; 手押式汲水器 ; 手压式汲水器 ; 수동 펌프 ; pompe à eau ; Wasserpumpe ; bomba de agua ; pompa dell'acqua ; waterpomp ; водяная колонка
0919 ; FtrPlayingtire ; tire toy ; タイヤのゆうぐ ; 輪胎玩具 ; 轮胎玩具 ; 타이어 놀이 기구 ; jeu en pneu ; Reifenspielgerät ; rueda de juguete ; gomma da parco ; autobandspeeltje ; шина для игры
091D ; FtrSolarpanel ; solar panel ; ソーラーパネル ; 太陽能板 ; 太阳能板 ; 태양열 패널 ; panneau solaire ; Solaranlage ; placa solar ; pannello solare ; zonnepaneel ; солнечная батарея
091F ; FtrLighthouse ; lighthouse ; とうだい ; 燈塔 ; 灯塔 ; 등대 ; phare ; Leuchtturm ; faro ; faro ; vuurtoren ; маяк
0930 ; FtrParabolicantenna ; parabolic antenna ; パラボラアンテナ ; 圓盤天線 ; 圆盘天线 ; 위성 안테나 ; parabole ; Satellitenschüssel ; antena parabólica ; antenna parabolica ; schotelantenne ; зеркальная антенна
09F9 ; FtrIronframe ; iron frame ; てっこつ ; 鋼筋 ; 钢架 ; 철골 ; lot de poutres en fer ; Stahlträger ; torre de vigas ; pila di travi ; metalen bielsen ; железный ограничитель
09FA ; FtrSofaL ; double sofa ; ダブルソファ ; 雙人座沙發 ; 双人座沙发 ; 더블 소파 ; canapé deux places ; Doppelsofa ; sofá de dos plazas ; sofà doppio ; tweezitsbank ; двухместный диван
09FE ; FtrBlockChairS ; wooden-block chair ; つみきチェア ; 積木椅 ; 积木椅 ; 나무블록 체어 ; chaise blocs de bois ; Bauklotzstuhl ; silla construcciones ; sedia blocchi di legno ; houtblokstoel ; стул из дерев. блоков
09FF ; FtrKame ; pot ; かめ ; 甕 ; 瓦罐 ; 항아리 ; pot ; Topf ; vasija ; vaso ; pot ; горшок
0A00 ; FtrWoodenChest ; wooden chest ; もくせいチェスト ; 木製矮櫃 ; 木制矮柜 ; 목제 수납장 ; commode en bois ; Holzkommode ; cómoda de madera ; comò di legno ; houten ladekast ; деревянный комод
0A01 ; FtrLamp ; floor lamp ; フロアランプ ; 落地燈 ; 落地灯 ; 플로어 스탠드 ; lampe à pied ; Stehlampe ; lámpara de pie ; lampada a stelo ; staande lamp ; торшер
0A02 ; FtrCandle ; candle ; キャンドル ; 蠟燭 ; 蜡烛 ; 양초 ; bougeoir ; Kerze ; vela ; candela ; kaars ; свеча
0A1A ; FtrGardenChairNatural ; natural garden chair ; ナチュラルなガーデンチェア ; 自然風花園椅 ; 自然风花园椅 ; 내추럴 가든 체어 ; chaise de jardin naturelle ; Funktional-Gartenstuhl ; silla de madera natural ; sedia naturale da giardino ; natuurlijke tuinstoel ; обычный садовый стул
0A24 ; FtrFruitsTV ; juicy-apple TV ; リンゴのテレビ ; 蘋果電視 ; 苹果电视 ; 사과 TV ; télé pomme ; Apfelfernseher ; tele manzana ; TV mela ; appel-tv ; телевизор-яблоко
0A2D ; FtrWoodenBedS ; wooden simple bed ; もくせいシングルベッド ; 木製單人床 ; 木制单人床 ; 목제 싱글 침대 ; lit en bois ; Holzbett ; cama individual de madera ; letto singolo di legno ; houten bed ; простая кровать из дерева
0A36 ; FtrMountainbike ; mountain bike ; マウンテンバイク ; 登山車 ; 登山车 ; 마운틴 바이크 ; VTT ; Mountainbike ; bici de montaña ; mountain bike ; mountainbike ; горный велосипед
0A99 ; FtrRefrigerator ; refrigerator ; れいぞうこ ; 冰箱 ; 冰箱 ; 냉장고 ; réfrigérateur ; Kühlschrank ; frigorífico ; frigorifero ; koelkast ; холодильник
0AAB ; FtrDigitalclock ; digital alarm clock ; デジタルアラームどけい ; 電子鬧鐘 ; 电子闹钟 ; 디지털 알람 시계 ; réveille-matin électrique ; Digitalwecker ; despertador digital ; sveglia digitale ; digitale wekker ; цифровой будильник
0AB0 ; FtrFanRetro ; retro fan ; レトロなせんぷうき ; 復古風扇 ; 复古风扇 ; 복고풍 선풍기 ; ventilateur rétro ; Retro-Ventilator ; ventilador retro ; ventilatore rétro ; retroventilator ; ретровентилятор
0AB4 ; FtrWashingmachine ; automatic washer ; せんたくき ; 洗衣機 ; 洗衣机 ; 세탁기 ; lave-linge ; Toplader-Waschmaschine ; lavadora de carga superior ; lavatrice con carica dall'alto ; bovenlader ; стиральный автомат
0AD2 ; FtrChess ; chessboard ; チェス ; 西洋棋 ; 西洋棋 ; 체스 ; échiquier ; Schachbrett ; tablero de ajedrez ; scacchiera ; schaakbord ; шахматная доска
0AD3 ; FtrStoveRound ; round space heater ; まるがたストーブ ; 圓形暖爐 ; 圆形暖炉 ; 둥근 스토브 ; chauffage cylindrique ; Heizgerät ; calefactor cilíndrico ; stufetta cilindrica ; ronde straalkachel ; круглый обогреватель
0AD4 ; FtrViolin ; fancy violin ; ヴァイオリン ; 小提琴 ; 小提琴 ; 바이올린 ; violon haut de gamme ; Edelgeige ; violín ; violino di lusso ; viool ; шикарная скрипка
0AD8 ; FtrWCTankless ; tankless toilet ; タンクレストイレ ; 無水箱馬桶 ; 无水箱马桶 ; 일체형 변기 ; WC mural ; Wand-WC ; inodoro tanque integrado ; toilette senza serbatoio ; vacuümtoilet ; унитаз без бачка
0BF8 ; FtrCoolerbox ; cooler box ; クーラーボックス ; 保冷箱 ; 保冷箱 ; 아이스박스 ; glacière ; Kühlbox ; nevera portátil rígida ; frigorifero portatile ; koelbox ; мобильный холодильник
0C06 ; FtrTelescopeSightseeing ; tourist telescope ; かんこうぼうえんきょう ; 觀光望遠鏡 ; 观光望远镜 ; 관광 망원경 ; télescope panoramique ; Aussichtsfernrohr ; binocular de mirador ; telescopio per turisti ; verrekijker ; туристический телескоп
0C32 ; FtrWorkbenchS ; mini DIY workbench ; ちいさなDIYさぎょうだい ; 小型ＤＩＹ作業台 ; 迷你DIY作业台 ; 작은 DIY 작업대 ; mini-établi ; Mini-Werkbank ; banquito de bricolaje ; mini banco da lavoro ; miniwerkbank ; мини-верстак
